,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
94,Norman Wells,87,CA,1595116800,71,65.282,-126.8329,67.77,6.51
95,Alice Springs,0,AU,1595116800,35,-23.7,133.8833,58.15,8.52
96,Port Hueneme,3,US,1595116800,70,34.1478,-119.1951,69.08,13.22
97,Mexico,66,PH,1595116800,77,15.0646,120.7198,82.78,3.36
98,Provideniya,85,RU,1595116800,71,64.3833,-173.3,48.72,5.26
99,Kumul,55,CN,1595116800,16,42.8,93.45,83.28,8.99
100,Barrow,95,US,1595116800,80,71.2906,-156.7887,37.33,11.54
101,Aykhal,62,RU,1595116800,80,66.0,111.5,58.64,8.34
102,Lagos,58,NG,1595116800,87,6.5833,3.75,76.53,6.53
103,Lola,90,GN,1595116800,93,7.8,-8.5333,67.77,2.91
104,Capâo Bonito,1,BR,1595116800,91,-24.0058,-48.3494,61.12,3.91
105,Port Hardy,87,CA,1595116800,86,50.6996,-127.4199,59.45,1.66
106,Leningradskiy,83,RU,1595116800,76,69.3833,178.4167,41.04,12.48
107,Litovko,31,RU,1595116800,89,49.2361,135.1742,79.43,1.14
108,Carnarvon,0,AU,1595116800,66,-24.8667,113.6333,56.75,20.45
109,Pevek,11,RU,1595116800,70,69.7008,170.3133,44.51,4.43
110,Paita,7,PE,1595116800,80,-5.0892,-81.1144,64.06,15.77
111,Siderno,20,IT,1595116800,81,38.2779,16.302,72.34,5.06
112,Vardø,97,NO,1595116800,91,70.3705,31.1107,50.67,2.93
113,Tuktoyaktuk,95,CA,1595116800,86,69.4541,-133.0374,40.82,12.66
114,Arraial do Cabo,0,BR,1595116800,76,-22.9661,-42.0278,71.13,17.52
115,São João da Barra,2,BR,1595116800,71,-21.6403,-41.0511,71.47,8.08
116,Ahipara,100,NZ,1595116800,87,-35.1667,173.1667,61.09,13.31
117,Lumphat,93,KH,1595116800,96,13.4878,106.9816,74.59,0.47
118,Colonelganj,100,IN,1595116800,68,27.1333,81.7,86.99,7.65
119,Atuona,59,PF,1595116800,79,-9.8,-139.0333,79.25,15.37
120,Komatipoort,0,ZA,1595116800,51,-25.4332,31.9548,57.52,2.77
121,Saint George,1,US,1595116800,11,37.1041,-113.5841,104.18,14.09
122,Yadgir,55,IN,1595116800,86,16.7667,77.1333,76.62,7.58
123,Angoche,33,MZ,1595116800,77,-16.2325,39.9086,70.05,10.11
124,Point Pedro,100,LK,1595116800,75,9.8167,80.2333,82.42,5.21
125,Mossamedes,0,AO,1595116800,74,-15.1961,12.1522,66.94,3.36
126,Mount Gambier,54,AU,1595116800,95,-37.8333,140.7667,50.63,12.95
127,Iqaluit,88,CA,1595116800,93,63.7506,-68.5145,45.37,8.25
128,Tornio,80,FI,1595116800,91,65.8481,24.1466,61.47,10.74
129,Taltal,36,CL,1595116800,68,-25.4,-70.4833,58.03,5.32
130,Udachny,77,RU,1595116800,77,66.4167,112.4,62.33,8.86
131,Acapulco de Juárez,4,MX,1595116800,74,16.8634,-99.8901,86.27,12.35
132,Sobolevo,4,RU,1595116800,84,54.4299,31.8996,55.6,4.12
133,Tupik,99,RU,1595116800,91,54.4253,119.9327,64.31,9.98
134,Cherskiy,0,RU,1595116800,58,68.75,161.3,66.97,6.24
135,Kosh-Agach,0,RU,1595116800,53,50.0,88.6667,63.93,1.7
136,Hilo,72,US,1595116800,67,19.7297,-155.09,81.36,8.41
137,Tiksi,100,RU,1595116800,99,71.6872,128.8694,49.77,8.59
138,Longyearbyen,87,SJ,1595116800,76,78.2186,15.6401,46.06,4.41
139,Rusape,0,ZW,1595116800,94,-18.5278,32.1284,43.09,1.9
140,Saskylakh,27,RU,1595116800,67,71.9167,114.0833,50.11,10.49
141,Hasaki,87,JP,1595116800,93,35.7333,140.8333,74.62,12.5
142,Sirte,0,LY,1595116800,77,31.2089,16.5887,76.57,8.34
143,Pisco,5,PE,1595116800,79,-13.7,-76.2167,61.3,4.09
144,Khatanga,100,RU,1595116800,77,71.9667,102.5,49.08,4.79
145,João Pinheiro,1,BR,1595116800,54,-17.7425,-46.1725,64.98,9.69
146,Kungurtug,12,RU,1595116800,67,50.5994,97.5228,55.65,0.81
147,Pangkalanbuun,49,ID,1595116800,97,-2.6833,111.6167,75.94,1.74
148,Mahajanga,0,MG,1595116800,60,-15.7167,46.3167,68.83,10.25
149,Yinchuan,1,CN,1595116800,33,38.4681,106.2731,74.41,0.72
150,Bambous Virieux,61,MU,1595116800,66,-20.3428,57.7575,69.37,20.58
151,Siverek,0,TR,1595116800,49,37.755,39.3167,78.58,4.14
152,Banda Aceh,76,ID,1595116800,80,5.5577,95.3222,79.39,4.32
153,Clyde River,86,CA,1595116800,71,70.4692,-68.5914,45.12,6.93
154,Monastyrshchina,3,RU,1595116800,84,54.3496,31.838,55.69,4.07
155,São Filipe,35,CV,1595116800,75,14.8961,-24.4956,76.62,9.08
156,Jamestown,11,US,1595116800,71,42.097,-79.2353,80.74,2.24
157,Kenai,50,US,1595116800,73,60.5544,-151.2583,61.52,12.84
158,Lieksa,76,FI,1595116800,76,63.3167,30.0167,63.3,4.03
159,Vaitape,93,PF,1595116800,82,-16.5167,-151.75,76.06,19.44
160,Kaitangata,2,NZ,1595116800,78,-46.2817,169.8464,45.75,2.73
161,Fort Nelson,86,CA,1595116800,39,58.8053,-122.7002,75.2,8.08
162,Fortuna,20,US,1595116800,59,40.5982,-124.1573,70.02,4.76
163,Ombessa,89,CM,1595116800,98,4.603,11.2565,69.55,4.23
164,Pitimbu,38,BR,1595116800,79,-7.4706,-34.8086,76.08,14.2
165,Pemangkat,45,ID,1595116800,92,1.1667,108.9667,76.53,4.79
166,Puerto El Triunfo,12,SV,1595116800,66,13.2833,-88.55,86.63,2.57
167,Bethel,18,US,1595116800,49,41.3712,-73.414,82.62,1.88
168,Kloulklubed,46,PW,1595116800,64,7.0419,134.2556,84.54,3.74
169,Los Llanos de Aridane,37,ES,1595116800,71,28.6585,-17.9182,75.27,7.87
170,Airai,76,TL,1595116800,50,-8.9266,125.4092,65.07,2.95
171,Saint-Philippe,78,RE,1595116800,78,-21.3585,55.7679,66.88,14.05
172,Olkhovka,91,RU,1595116800,76,53.2115,60.6069,70.47,1.9
173,Roebourne,80,AU,1595116800,72,-20.7833,117.1333,66.47,7.61
174,Monrovia,75,LR,1595116800,88,6.3005,-10.7969,76.86,5.26
175,Ust'-Kulom,32,RU,1595116800,88,61.6864,53.6902,57.83,2.84
176,Florianópolis,0,BR,1595116800,83,-27.6146,-48.5012,66.61,8.05
177,Mahébourg,62,MU,1595116800,66,-20.4081,57.7,69.48,20.38
178,Morro Bay,19,US,1595116800,67,35.3658,-120.8499,73.11,6.4
179,Khuzdar,16,PK,1595116800,60,27.7384,66.6434,81.14,4.27
180,Camalú,10,MX,1595116800,45,30.85,-116.0667,80.96,13.69
181,Alofi,88,NU,1595116800,77,-19.0595,-169.9187,76.93,17.13
182,Ballina,24,AU,1595116800,80,-28.8667,153.5667,62.94,5.19
183,Tateyama,100,JP,1595116800,91,34.9833,139.8667,72.82,18.41
184,Cayenne,99,GF,1595116800,82,4.9333,-52.3333,80.6,9.28
185,Riyadh,14,SA,1595116800,14,24.6877,46.7219,86.18,6.93
186,Tazovsky,72,RU,1595116800,75,67.4667,78.7,49.19,11.39
187,Laguna,1,US,1595116800,26,38.421,-121.4238,100.78,7.67
188,Lüderitz,0,NA,1595116800,24,-26.6481,15.1594,67.96,5.57
189,Barcelos,20,PT,1595116800,83,41.5388,-8.6151,67.82,1.05
190,Codrington,11,AU,1595116800,86,-38.2667,141.9667,51.98,22.59
191,Dipalpur,0,PK,1595116800,46,30.6709,73.6529,93.99,5.99
192,Mitsamiouli,17,KM,1595116800,60,-11.3847,43.2844,76.17,12.84
193,Ardakān,0,IR,1595116800,19,32.31,54.0175,82.22,7.67
194,Inhambane,13,MZ,1595116800,78,-23.865,35.3833,65.37,2.48
195,Xiongzhou,30,CN,1595116800,77,25.1167,114.3,83.34,5.73
196,Saint Paul Harbor,96,US,1595116800,81,57.79,-152.4072,58.8,7.45
197,Ust'-Ilimsk,47,RU,1595116800,89,58.0006,102.6619,50.54,2.59
198,Yuci,80,CN,1595116800,67,37.6803,112.7319,73.47,3.56
199,Kualakapuas,76,ID,1595116800,96,-3.0091,114.3876,76.28,1.3
200,Port Elizabeth,0,ZA,1595116800,80,-33.918,25.5701,58.6,8.95
201,Nikolskoye,100,RU,1595116800,65,59.7035,30.7861,59.72,3.85
202,Souillac,67,MU,1595116800,66,-20.5167,57.5167,69.21,20.18
203,Nūzvīd,87,IN,1595116800,85,16.7833,80.85,80.13,4.5
204,Saint-Pierre,70,RE,1595116800,77,-21.3393,55.4781,67.01,15.3
205,Medicine Hat,55,CA,1595116800,40,50.0501,-110.6683,74.21,11.72
206,Ponta do Sol,11,PT,1595116800,73,32.6667,-17.1,73.42,2.59
207,Luwuk,31,ID,1595116800,77,-0.9516,122.7875,80.06,6.04
208,Qinhuangdao,99,CN,1595116800,74,39.9317,119.5883,75.45,12.91
209,Bathsheba,31,BB,1595116800,71,13.2167,-59.5167,84.65,14.97
210,Lebu,100,CL,1595116800,89,-37.6167,-73.65,52.68,14.41
211,Esperance,71,AU,1595116800,83,-33.8667,121.9,55.49,8.25
212,Sol'-Iletsk,13,RU,1595116800,81,51.1631,54.9918,72.46,11.72
213,Kizhinga,11,RU,1595116800,65,51.8462,109.9097,55.89,15.41
214,Tuatapere,0,NZ,1595116800,64,-46.1333,167.6833,47.82,1.81
215,Promyshlennaya,0,RU,1595116800,83,54.9159,85.6385,57.04,8.81
216,Amlamé,70,TG,1595116800,96,7.4667,0.9,69.76,3.09
217,Luangwa,19,ZM,1595116800,77,-15.6167,30.4167,56.91,2.95
218,Lillooet,45,CA,1595116800,30,50.6856,-121.942,83.7,2.26
219,Kruisfontein,0,ZA,1595116800,80,-34.0033,24.7314,52.43,6.22
220,Grantham,100,GB,1595116800,85,52.9115,-0.6418,60.94,4.83
221,Praia da Vitória,57,PT,1595116800,79,38.7333,-27.0667,69.73,8.95
222,Murakami,92,JP,1595116800,83,38.2333,139.4833,77.52,4.43
223,Flinders,91,AU,1595116800,70,-34.5833,150.8552,60.26,5.39
224,Bengkulu,79,ID,1595116800,88,-3.8004,102.2655,75.07,4.56
225,Atambua,86,ID,1595116800,66,-9.1061,124.8925,75.38,3.69
226,San Ignacio,68,BZ,1595116800,65,17.1561,-89.0714,87.4,5.82
227,Aripuanã,15,BR,1595116800,45,-9.1667,-60.6333,86.32,2.01
228,Anadyr,40,RU,1595116800,66,64.75,177.4833,52.02,12.95
229,Goderich,91,CA,1595116800,73,43.7501,-81.7165,80.78,17.65
230,Turukhansk,18,RU,1595116800,80,65.8167,87.9833,51.49,1.83
231,Russellville,4,US,1595116800,55,35.2784,-93.1338,90.7,4.65
232,Changji,98,CN,1595116800,27,44.0167,87.3167,85.96,2.06
233,George Town,59,MY,1595116800,92,5.4112,100.3354,78.06,5.01
234,Poum,1,NC,1595116800,62,-20.2333,164.0167,71.55,13.06
235,Krasnaya Gorka,90,RU,1595116800,83,55.1962,56.6673,65.62,4.74
236,Vila Franca do Campo,33,PT,1595116800,74,37.7167,-25.4333,69.06,6.87
237,Mikhaylovsk,9,RU,1595116800,68,45.1283,42.0256,69.8,6.6
238,Hamilton,20,US,1595116800,57,39.1834,-84.5333,87.22,7.9
239,Muros,0,ES,1595116800,61,42.7762,-9.0603,69.19,2.3
240,Sinnamary,92,GF,1595116800,84,5.3833,-52.95,79.54,9.71
241,Carballo,0,ES,1595116800,73,43.213,-8.691,64.94,0.76
242,Sibolga,99,ID,1595116800,77,1.7427,98.7792,76.35,3.11
243,Buchanan,85,LR,1595116800,89,5.8808,-10.0467,76.84,6.98
244,Kirakira,66,SB,1595116800,75,-10.4544,161.9205,83.59,5.64
245,Krasnosel'kup,90,RU,1595116800,66,65.7,82.4667,55.9,7.18
246,Malinyi,57,TZ,1595116800,55,-8.9333,36.1333,67.08,2.55
247,Dauriya,100,RU,1595116800,95,49.9333,116.8667,58.3,11.74
248,Shingū,93,JP,1595116800,73,33.7333,135.9833,79.56,2.42
249,Katherine,0,AU,1595116800,53,-14.4667,132.2667,71.2,4.59
250,Barberton,0,ZA,1595116800,36,-25.7884,31.0532,53.82,4.68
251,Grindavik,50,IS,1595116800,77,63.8424,-22.4338,50.68,18.99
252,Manaure,41,CO,1595116800,69,11.7751,-72.4445,86.02,19.64
253,Forssa,79,FI,1595116800,92,60.8146,23.6215,57.51,4.59
254,Suure-Jaani,97,EE,1595116800,84,58.5361,25.4706,60.31,1.28
255,Bilibino,37,RU,1595116800,59,68.0546,166.4372,68.4,9.48
256,Shar,89,KZ,1595116800,68,49.5886,81.0453,65.86,8.68
257,Marsabit,81,KE,1595116800,64,2.3284,37.9899,63.46,20.47
258,Santa Cruz de la Sierra,24,BO,1595116800,55,-17.8,-63.1667,82.15,13.38
259,Mehamn,48,NO,1595116800,79,71.0357,27.8492,51.17,3.91
260,Pedernales,33,DO,1595116800,56,18.0384,-71.744,88.12,6.98
261,Pangai,100,TO,1595116800,84,-19.8,-174.35,77.25,14.83
262,Helena,10,US,1595116800,23,46.5927,-112.0361,79.57,10.8
263,Wajima,46,JP,1595116800,80,37.4,136.9,74.5,1.05
264,Mount Isa,0,AU,1595116800,36,-20.7333,139.5,69.33,9.01
265,Lensk,27,RU,1595116800,75,60.7253,114.9278,59.76,5.3
266,Jacmel,50,HT,1595116800,68,18.2342,-72.5347,84.97,2.62
267,Eirunepé,80,BR,1595116800,58,-6.6603,-69.8736,83.98,0.38
268,Avera,19,US,1595116800,50,33.194,-82.5271,90.37,5.59
269,Emerald,12,AU,1595116800,70,-23.5333,148.1667,62.01,1.79
270,Arman',97,RU,1595116800,52,59.7,150.1667,64.24,6.89
271,Shenzhen,75,CN,1595116800,85,22.5455,114.0683,86.13,9.86
272,Novosheshminsk,100,RU,1595116800,95,55.0651,51.2338,63.07,4.7
273,Talnakh,48,RU,1595116800,79,69.4865,88.3972,54.82,5.73
274,Sabha,3,LY,1595116800,24,27.0377,14.4283,90.88,14.36
275,Steamboat Springs,39,US,1595116800,19,40.485,-106.8317,83.01,14.34
276,Greenville,14,US,1595116800,65,35.6127,-77.3663,88.11,7.96
277,Puerto Madero,33,MX,1595116800,63,14.7208,-92.4215,89.24,5.35
278,Rodrigues Alves,33,BR,1595116800,59,-7.738,-72.6509,84.56,1.77
279,Swan Hill,18,AU,1595116800,59,-35.3378,143.5544,51.57,11.16
280,Owo,97,NG,1595116800,99,7.1962,5.5868,70.75,3.4
281,Erenhot,0,CN,1595116800,41,43.6475,111.9767,67.78,2.82
282,Caucaia,48,BR,1595116800,72,-3.7361,-38.6531,79.93,11.45
283,Jhang,42,PK,1595116800,58,33.6748,72.6963,85.98,4.85
284,Cockburn Town,1,TC,1595116800,77,21.4612,-71.1419,83.59,17.25
285,Davidson,66,US,1595116800,46,36.1501,-86.7833,92.7,5.08
286,Lompoc,4,US,1595116800,62,34.6391,-120.4579,69.94,9.48
287,Egvekinot,39,RU,1595116800,64,66.3167,-179.1667,49.5,6.38
288,Yashkino,0,RU,1595116800,89,55.8736,85.4265,57.92,3.76
289,Hyères,0,FR,1595116800,80,43.1167,6.1167,71.38,3.49
290,Inírida,40,CO,1595116800,85,3.8653,-67.9239,78.96,1.01
291,Negara,53,ID,1595116800,85,-8.3151,114.6025,77.05,6.69
292,Vila Velha,28,BR,1595116800,68,-20.3297,-40.2925,71.67,1.88
293,Iracoubo,93,GF,1595116800,83,5.4802,-53.2011,79.88,9.89
294,Narrabri,0,AU,1595116800,75,-30.3167,149.7833,58.77,4.41
295,Yulara,88,AU,1595116800,49,-25.2406,130.9889,55.26,8.1
296,Nizhniy Baskunchak,0,RU,1595116800,51,48.2198,46.8311,75.18,11.43
297,Tura,100,IN,1595116800,97,25.5198,90.2201,75.36,6.67
298,Sitka,95,US,1595116800,91,57.0531,-135.33,56.3,5.37
299,Sinegor'ye,0,RU,1595116800,44,62.0788,150.477,60.42,5.08
300,Majene,82,ID,1595116800,87,-3.5403,118.9707,77.94,8.23
301,Las Palmas,0,ES,1595116800,56,28.4204,-14.0131,79.81,9.1
302,Nanortalik,62,GL,1595116800,75,60.1432,-45.2371,48.43,2.13
303,Margate,16,GB,1595116800,84,51.3813,1.3862,63.39,5.68
304,Forsytheganj,0,BY,1595116800,81,52.6333,29.7333,56.97,3.18
305,Miajadas,0,ES,1595116800,32,39.1513,-5.9084,84.79,5.53
306,Olafsvik,28,IS,1595116800,82,64.8945,-23.7142,47.43,12.35
307,Rørvik,100,NO,1595116800,82,64.8621,11.2373,56.1,10.11
308,Glendive,21,US,1595116800,36,47.1053,-104.7125,79.74,16.69
309,San Cristobal,58,VE,1595116800,60,7.7669,-72.225,82.51,3.71
310,Huron,4,US,1595116800,57,41.1501,-82.5499,85.41,6.62
311,Saint Anthony,73,US,1595116800,63,45.0205,-93.218,89.33,5.57
312,Uruguaiana,0,BR,1595116800,66,-29.7547,-57.0883,75.79,10.18
313,Meulaboh,95,ID,1595116800,83,4.1363,96.1285,77.45,3.96
314,Buin,95,CL,1595116800,77,-33.7333,-70.75,54.79,2.04
315,Iralaya,15,HN,1595116800,76,15.0,-83.2333,85.59,7.81
316,Skjervøy,15,NO,1595116800,78,70.0311,20.9714,53.71,14.45
317,Jos,97,NG,1595116800,92,9.9167,8.9,64.8,3.04
318,Nishihara,41,JP,1595116800,81,26.1842,127.7558,83.21,13.09
319,Nacala,0,MZ,1595116800,85,-14.5428,40.6728,67.03,8.88
320,Tuim,0,RU,1595116800,84,54.3417,89.9261,52.9,0.98
321,Belmonte,33,BR,1595116800,74,-15.8631,-38.8828,72.28,11.7
322,Bodden Town,36,KY,1595116800,70,19.2833,-81.25,86.25,5.73
323,Elizabeth City,21,US,1595116800,76,36.2946,-76.2511,85.23,7.38
324,Dhone,64,IN,1595116800,83,15.4167,77.8833,76.73,11.63
325,Richards Bay,0,ZA,1595116800,57,-28.783,32.0377,58.19,5.77
326,Port-Cartier,78,CA,1595116800,78,50.0334,-66.8654,67.87,3.62
327,Mar del Plata,100,AR,1595116800,89,-38.0023,-57.5575,52.61,5.41
328,Ribeira Grande,42,PT,1595116800,72,38.5167,-28.7,71.46,10.85
329,Mogzon,91,RU,1595116800,74,51.7435,111.9606,54.46,14.56
330,San Patricio,15,MX,1595116800,69,19.2167,-104.7,88.0,6.67
331,Sai Buri,86,TH,1595116800,84,6.7013,101.6168,78.66,4.21
332,Isangel,63,VU,1595116800,75,-19.55,169.2667,72.57,7.29
333,Kulhudhuffushi,100,MV,1595116800,72,6.6221,73.07,83.68,21.03
334,Namatanai,83,PG,1595116800,75,-3.6667,152.4333,83.93,5.23
335,Deputatsky,86,RU,1595116800,54,69.3,139.9,57.47,12.17
336,Yumen,47,CN,1595116800,23,40.2833,97.2,72.01,3.49
337,Nsanje,17,MW,1595116800,94,-16.92,35.262,62.89,3.38
338,Yaan,40,NG,1595116800,88,7.3833,8.5667,73.4,4.68
339,The Valley,20,AI,1595116800,70,18.217,-63.0578,83.17,14.23
340,Sandakan,21,MY,1595116800,91,5.8402,118.1179,78.26,4.47
341,Bereket,0,TM,1595116800,27,39.2446,55.5154,87.12,5.21
342,Guerrero Negro,0,MX,1595116800,49,27.9769,-114.0611,79.75,18.95
343,Saldanha,0,ZA,1595116800,81,-33.0117,17.9442,55.63,7.31
344,Hobyo,59,SO,1595116800,71,5.3505,48.5268,77.79,25.68
345,Yekaterinovka,5,RU,1595116800,93,52.0508,44.3451,54.72,5.12
346,Umluj,7,SA,1595116800,63,25.0213,37.2685,82.53,4.72
347,Herat Province,0,AF,1595116800,17,34.5,62.0,79.81,25.26
348,Paamiut,54,GL,1595116800,83,61.994,-49.6678,47.19,10.78
349,Sangmélima,96,CM,1595116800,98,2.9333,11.9833,67.35,4.61
350,Buraidah,25,SA,1595116800,14,26.326,43.975,91.65,14.47
351,Semaria,98,IN,1595116800,63,24.3073,79.9718,86.47,7.92
352,Porterville,1,US,1595116800,23,36.0652,-119.0168,105.17,7.25
353,Husavik,87,IS,1595116800,85,66.0449,-17.3389,43.39,16.71
354,Medowie,75,AU,1595116800,85,-32.7333,151.8667,57.58,5.39
355,College,86,US,1595116800,68,64.8569,-147.8028,65.71,3.31
356,Vanimo,99,PG,1595116800,82,-2.6741,141.3028,80.73,6.49
357,Bonthe,100,SL,1595116800,85,7.5264,-12.505,76.3,5.19
